id,sex,married,employment,income,digital1
200001,F,0,employed,35502.0,0.111
200002,M,1,employed,35371.0,0.312
200003,M,1,unemployed,22555.0,0.25
200004,M,1,retired,18584.0,0.157
200005,F,1,employed,22726.0,0.477
200006,F,0,student,17788.0,0.671
200007,M,1,unemployed,0.0,0.514
200008,F,0,retired,12452.0,0.156
200009,M,1,retired,16068.0,0.258
200010,M,1,unemployed,0.0,0.592
200011,M,1,employed,57293.0,0.152
200012,F,1,retired,23104.0,0.185
200013,M,0,employed,26547.0,0.585
200014,F,1,unemployed,20278.0,0.556
200015,F,1,employed,23734.0,0.483
200016,M,1,employed,24962.0,0.009
200017,M,1,employed,36672.0,0.644
200018,F,0,retired,40374.0,0.048
200019,M,1,unemployed,29228.0,0.487
200020,M,1,employed,18158.0,0.428
200021,M,0,employed,31047.0,0.451
200022,M,0,employed,20717.0,0.604
200023,M,0,student,1306.0,0.662
200024,F,1,employed,57145.0,0.571
200025,M,1,employed,25624.0,0.179
200026,M,1,employed,21813.0,0.589
200027,F,0,employed,26332.0,0.565
200028,F,0,student,0.0,0.379
200029,F,0,employed,57073.0,0.339
200030,M,0,employed,29026.0,0.313
200031,F,0,employed,22778.0,0.077
200032,F,1,employed,34345.0,0.312
200033,F,0,employed,61436.0,0.375
200034,M,0,unemployed,22709.0,0.664
200035,M,1,retired,31539.0,0.164
200036,F,0,student,14017.0,0.187
200037,F,1,employed,40100.0,0.066
200038,M,0,unemployed,25612.0,0.316
200039,F,1,employed,21510.0,0.292
200040,M,1,employed,19867.0,0.419
200041,F,1,unemployed,20808.0,0.378
200042,M,1,employed,30719.0,0.555
200043,M,1,unemployed,21451.0,0.048
200044,M,1,unemployed,0.0,0.673
200045,M,1,employed,10434.0,0.221
200046,M,1,employed,30102.0,0.071
200047,F,0,employed,19556.0,0.401
200048,F,1,employed,18762.0,0.4
200049,M,1,employed,27062.0,0.313
200050,F,0,student,8985.0,0.239
200051,F,1,unemployed,24305.0,0.041
200052,F,1,employed,36446.0,0.118
200053,M,1,retired,27764.0,0.234
200054,F,1,employed,17740.0,0.2
200055,M,1,employed,23636.0,0.288
200056,M,0,unemployed,21557.0,0.26
200057,M,0,employed,21274.0,0.273
200058,F,1,retired,15821.0,0.118
200059,F,1,employed,34023.0,0.552
200060,M,1,employed,32261.0,0.436
200061,F,1,employed,19875.0,0.424
200062,F,1,employed,32211.0,0.085
200063,M,1,employed,31303.0,0.617
200064,F,0,employed,29929.0,0.144
200065,F,1,employed,31654.0,0.492
200066,M,0,retired,15387.0,0.003
200067,M,1,retired,20852.0,0.142
200068,M,0,student,15297.0,0.783
200069,M,0,unemployed,24886.0,0.463
200070,M,1,unemployed,22505.0,0.35
200071,F,1,employed,43029.0,0.591
200072,M,1,employed,22881.0,0.189
200073,M,0,employed,31977.0,0.305
200074,M,0,student,0.0,0.648
200075,F,1,employed,22460.0,0.554
200076,M,1,employed,121850.0,0.593
200077,F,1,employed,30464.0,0.443
200078,M,1,employed,37539.0,0.506
200079,M,1,employed,41803.0,0.334
200080,M,1,employed,26408.0,0.231
200081,M,1,employed,31020.0,0.395
200082,M,1,employed,58850.0,0.136
200083,F,0,student,13295.0,0.444
200084,M,1,unemployed,23480.0,0.5
200085,M,0,student,17114.0,0.6
200086,F,0,retired,31015.0,0.072
200087,F,0,employed,50416.0,0.007
200088,F,1,unemployed,20651.0,0.182
200089,M,0,employed,46803.0,0.58
200090,F,1,employed,39432.0,0.572
200091,M,1,employed,20183.0,0.237
200092,F,0,employed,16685.0,0.478
200093,F,1,retired,36704.0,0.196
200094,M,0,unemployed,23807.0,0.031
200095,F,1,employed,9388.0,0.017
200096,F,1,employed,16027.0,0.573
200097,M,1,unemployed,23885.0,0.124
200098,M,1,retired,20233.0,0.103
200099,F,1,employed,50967.0,0.627
200100,M,1,unemployed,24687.0,0.29
200101,M,0,employed,158611.0,0.66
200102,F,1,employed,39938.0,0.117
200103,M,0,employed,20403.0,0.205
200104,M,0,student,9126.0,0.391
200105,F,1,student,0.0,0.809
200106,F,0,employed,35821.0,0.529
200107,F,1,employed,19784.0,0.478
200108,F,1,employed,15839.0,0.206
200109,M,1,employed,107888.0,0.668
200110,M,0,student,13291.0,0.454
200111,M,0,employed,20488.0,0.047
200112,M,1,employed,20280.0,0.451
200113,F,1,employed,48486.0,0.3
200114,M,0,student,9659.0,0.679
200115,F,1,employed,20134.0,0.076
200116,M,1,student,13747.0,0.622
200117,M,0,student,9715.0,0.666
200118,F,1,unemployed,18950.0,0.324
200119,M,1,employed,36547.0,0.484
200120,F,1,employed,32901.0,0.662
200121,F,0,student,6511.0,0.111
200122,F,1,unemployed,21912.0,0.006
200123,F,0,employed,49877.0,0.619
200124,M,1,retired,55059.0,0.185
200125,F,1,retired,27906.0,0.164
200126,F,1,employed,22070.0,0.248
200127,M,1,employed,35211.0,0.211
200128,F,0,unemployed,23714.0,0.547
200129,M,0,employed,28813.0,0.319
200130,F,1,employed,15634.0,0.404
200131,F,1,employed,542204.0,0.485
200132,M,1,employed,44411.0,0.367
200133,F,1,retired,30750.0,0.109
200134,F,1,employed,23028.0,0.412
200135,F,1,employed,39957.0,0.13
200136,F,1,employed,151459.0,0.458
200137,M,0,student,7470.0,0.245
200138,M,1,employed,25971.0,0.415
200139,F,1,employed,64514.0,0.342
200140,M,1,employed,44163.0,0.303
200141,F,1,employed,201440.0,0.452
200142,M,1,retired,19158.0,0.187
200143,M,1,retired,31229.0,0.038
200144,F,1,employed,31589.0,0.353
200145,F,1,unemployed,17582.0,0.362
200146,M,0,employed,33480.0,0.164
200147,M,0,employed,24605.0,0.289
200148,M,1,employed,321066.0,0.274
200149,F,0,student,8790.0,0.811
200150,F,0,student,0.0,0.765
200151,M,0,employed,34879.0,0.632
200152,F,1,employed,64266.0,0.185
200153,M,1,employed,24530.0,0.282
200154,F,1,employed,21022.0,0.25
200155,M,0,employed,21193.0,0.366
200156,M,1,employed,45288.0,0.583
200157,F,1,employed,265318.0,0.087
200158,M,1,unemployed,23995.0,0.406
200159,M,1,employed,38227.0,0.185
200160,M,0,student,20015.0,0.611
200161,M,1,retired,30504.0,0.178
200162,M,1,student,19435.0,0.578
200163,M,1,employed,63412.0,0.636
200164,F,0,employed,22898.0,0.129
200165,M,1,employed,12748.0,0.195
200166,F,1,employed,42374.0,0.491
200167,M,1,employed,21207.0,0.189
200168,F,0,student,0.0,0.655
200169,M,1,employed,33026.0,0.039
200170,F,0,employed,22650.0,0.572
200171,M,1,student,16436.0,0.629
200172,F,0,unemployed,20690.0,0.148
200173,F,0,employed,295882.0,0.296
200174,M,0,employed,38389.0,0.092
200175,F,0,student,7800.0,0.173
200176,F,0,employed,17807.0,0.315
200177,M,1,employed,25077.0,0.551
200178,M,1,employed,232114.0,0.087
200179,F,1,employed,14746.0,0.409
200180,M,0,student,14604.0,0.582
200181,M,0,student,21712.0,0.715
200182,F,0,employed,46348.0,0.031
200183,F,0,student,15035.0,0.666
200184,F,1,employed,8148.0,0.135
