id,sex,married,employment,income,digital1
100001,M,0,student,12394.0,0.491
100002,M,0,employed,36385.0,0.45
100003,M,0,student,14945.0,0.756
100004,F,1,employed,17874.0,0.618
100005,M,0,employed,34250.0,0.453
100006,M,1,employed,10849.0,0.492
100007,F,0,employed,34452.0,0.556
100008,F,1,student,13863.0,0.435
100009,F,1,unemployed,0.0,0.262
100010,M,0,student,20508.0,0.839
100011,M,1,employed,25218.0,0.599
100012,M,0,student,959.0,0.363
100013,M,1,employed,85514.0,0.516
100014,F,1,employed,27297.0,0.19
100015,M,0,student,41.0,0.01
100016,F,0,employed,43806.0,0.362
100017,F,1,employed,26326.0,0.126
100018,F,1,unemployed,22122.0,0.058
100019,F,1,employed,12303.0,0.552
100020,M,1,employed,13426.0,0.63
100021,M,1,employed,29098.0,0.573
100022,M,0,student,5100.0,0.981
100023,F,1,employed,63742.0,0.388
100024,F,1,unemployed,0.0,0.443
100025,F,1,unemployed,20066.0,0.587
100026,F,1,employed,56545.0,0.287
100027,M,1,employed,29769.0,0.432
100028,F,0,student,10238.0,0.845
100029,F,1,unemployed,24088.0,0.054
100030,M,0,student,4786.0,0.923
100031,M,1,employed,52015.0,0.333
100032,M,1,employed,21248.0,0.667
100033,M,0,student,0.0,0.95
100034,M,0,student,7776.0,0.548
100035,F,1,employed,29054.0,0.313
100036,M,1,employed,40165.0,0.664
100037,M,1,employed,43041.0,0.191
100038,M,1,employed,21524.0,0.25
100039,M,1,employed,28445.0,0.271
100040,F,1,unemployed,20833.0,0.424
100041,F,1,retired,30736.0,0.241
100042,F,0,retired,16082.0,0.253
100043,M,0,employed,57117.0,0.643
100044,M,0,unemployed,21397.0,0.525
100045,M,1,employed,49755.0,0.689
100046,F,0,student,13059.0,0.29
100047,F,1,employed,18133.0,0.199
100048,F,0,employed,22034.0,0.092
100049,M,1,retired,19637.0,0.195
100050,M,1,unemployed,20509.0,0.513
100051,M,1,employed,53829.0,0.582
100052,M,1,unemployed,24968.0,0.23
100053,M,1,employed,34508.0,0.573
100054,M,1,retired,28992.0,0.172
100055,M,1,employed,23584.0,0.252
100056,M,1,retired,33360.0,0.139
100057,M,0,student,23037.0,0.841
100058,M,1,unemployed,26634.0,0.011
100059,M,0,student,0.0,0.463
100060,M,1,unemployed,25550.0,0.023
100061,F,1,employed,25204.0,0.475
100062,F,1,employed,32731.0,0.189
100063,M,1,employed,66119.0,0.44
100064,F,1,employed,30760.0,0.39
100065,F,1,employed,10257.0,0.56
100066,F,0,student,10208.0,0.384
100067,F,1,unemployed,24768.0,0.404
100068,M,1,employed,60266.0,0.132
100069,F,1,employed,15216.0,0.366
100070,M,1,employed,17418.0,0.241
100071,M,1,employed,63180.0,0.169
100072,M,1,employed,35882.0,0.403
100073,M,1,unemployed,28044.0,0.052
100074,F,0,employed,35958.0,0.182
100075,M,1,employed,52443.0,0.441
100076,F,1,employed,26006.0,0.648
100077,F,1,employed,27171.0,0.319
100078,M,0,employed,17800.0,0.168
100079,F,1,employed,21794.0,0.725
100080,F,1,employed,325450.0,0.07
100081,M,1,employed,1000000.0,0.077
100082,F,1,unemployed,0.0,0.555
100083,M,1,employed,27717.0,0.572
100084,F,1,unemployed,18956.0,0.337
100085,M,1,employed,331010.0,0.514
100086,M,0,student,4761.0,0.69
100087,M,1,employed,122466.0,0.723
100088,M,1,employed,55534.0,0.357
100089,F,0,employed,46291.0,0.373
100090,F,1,employed,37737.0,0.376
100091,M,0,student,13940.0,0.843
100092,M,0,employed,1000000.0,0.677
100093,M,0,student,0.0,0.638
100094,M,0,student,16556.0,0.041
100095,F,1,unemployed,22267.0,0.252
100096,M,0,student,3153.0,0.849
100097,M,1,employed,34251.0,0.628
100098,M,1,employed,139965.0,0.259
100099,M,1,employed,22134.0,0.114
100100,M,0,student,14134.0,0.729
100101,M,1,employed,36562.0,0.345
100102,M,0,student,10360.0,0.42
100103,M,1,employed,27591.0,0.448
100104,M,0,employed,22378.0,0.407
100105,F,0,unemployed,25974.0,0.198
100106,M,1,employed,106434.0,0.292
100107,F,0,student,13445.0,0.357
100108,M,1,employed,20046.0,0.276
100109,M,1,employed,48040.0,0.133
100110,F,1,employed,20380.0,0.249
100111,M,0,unemployed,28320.0,0.596
100112,M,1,employed,23382.0,0.671
100113,M,1,employed,24899.0,0.492
100114,M,0,student,0.0,0.861
100115,F,1,employed,50361.0,0.096
100116,M,0,student,14402.0,0.519
100117,M,0,retired,15351.0,0.237
100118,M,1,employed,189219.0,0.299
