id,own,competing2,competing3,borrowertype,accepted,default,profit
100001,.1782525,,.1747408,3,0,0,
100002,.1551305,.4691201,.0939903,1,0,0,
100003,.1488298,.099437,.0997176,3,0,0,
100004,.1735152,.4188748,.2189493,3,1,0,1735.152
100005,.1574986,.5145274,.1451516,1,1,0,1574.986
100006,.1845765,,.5569379,3,1,0,1845.765
100007,.1485189,.2025213,.104518,1,0,0,
100008,.1779599,.4796602,.1924706,3,0,0,
100009,.8036656,.891962,1,2,1,0,8036.656
100010,.1475409,.1528132,.5756324,2,0,0,
100011,.1639059,.235169,.0882733,2,0,0,
100012,.2862456,.1526478,,3,0,0,
100013,.0994526,.4181184,.0891167,3,0,0,
100014,.308324,.208419,.2335802,1,0,1,
100015,.42439,.1514056,.14701,3,0,0,
100016,.1516514,.2025232,.7733859,3,1,0,1516.514
100017,.3220977,.6678311,.22538,1,0,1,
100018,.4322383,,.3193768,1,0,0,
100019,.1816032,.276868,.239794,3,1,1,-10000
100020,.1697775,.8818533,,3,1,0,1697.775
100021,.153066,.8338324,.1147598,3,0,0,
100022,.1594532,.3518,.1487868,3,0,0,
100023,.1332438,.255511,.0620313,2,0,0,
100024,.6097655,,.9966066,3,1,1,-10000
100025,.211473,,.2088882,1,1,0,2114.73
100026,.1551845,.185513,.1067031,3,0,0,
100027,.1726602,.277959,,1,1,1,-10000
100028,.1478924,.1721971,.074322,2,0,0,
100029,.4283238,,.3158059,2,0,0,
100030,.1587519,.1528165,.2121723,3,0,1,
100031,.1321264,.194133,.0867182,2,0,0,
100032,.1651182,,.150186,1,1,0,1651.182
100033,.2223031,,.5332779,2,1,0,2223.031
100034,.168925,.1528076,.1963853,1,1,0,1689.25
100035,.2139702,.185513,.1374231,2,0,0,
100036,.1131538,.285585,.1216881,3,0,0,
100037,.1828957,.221264,.1575525,2,0,0,
100038,.2760432,.5280576,.417988,1,1,0,2760.432
100039,.2539403,.164425,.3611169,1,0,0,
100040,.2416862,,.2225294,1,1,0,2416.862
100041,.4661469,.299675,.4901315,2,0,0,
100042,.5334256,.373528,,1,0,1,
100043,.1128236,.4097336,.2828228,2,1,0,1128.236
100044,.2180755,,.3574826,1,1,0,2180.755
100045,.1062493,.1644257,.0523444,1,0,0,
100046,.2410096,.402327,.2064762,1,0,0,
100047,.3251989,.4260038,.1761745,3,0,0,
100048,.3383813,.2025174,.3112022,2,0,0,
100049,.5651593,.330202,.6266907,1,0,0,
100050,.2204679,,.1269504,1,0,0,
100051,.1097065,.269503,.0459278,2,0,0,
100052,.3759227,,.15902,3,0,0,
100053,.1294726,.117445,.123835,2,0,0,
100054,.5294639,.8118207,.605932,2,1,0,5294.64
100055,.2746758,.1644233,.1849669,3,0,1,
100056,.473012,.292931,.5118418,3,0,0,
100057,.1478197,.5214563,.2582493,2,1,0,1478.197
100058,.4231095,,.8986992,2,1,0,4231.095
100059,.2631335,,.063218,3,0,1,
100060,.4251326,,,2,1,0,4251.326
100061,.1830227,.172512,.0743979,2,0,0,
100062,.2744631,.2302316,.1175681,2,0,0,
100063,.1205908,.4333028,.1121439,3,0,0,
100064,.1748064,.19724,.3171064,1,1,0,1748.064
100065,.1812127,.153165,.6841397,3,0,0,
100066,.1941272,.172208,,1,0,0,
100067,.2395312,.446747,.2817725,3,1,1,-10000
100068,.1798993,.1644273,,3,0,0,
100069,.2028278,.1855058,.1598304,1,0,0,
100070,.2913827,.1644209,.1309069,3,0,0,
100071,.1802873,.1644267,.3720135,3,0,0,
100072,.1441742,.5311467,.2336748,3,1,1,-10000
100073,.4215656,.262518,.2549878,3,0,0,
100074,.2521943,.141678,.3400986,1,0,0,
100075,.1226828,.068216,.130528,2,0,0,
100076,.1668207,.3738179,.2445012,3,1,0,1668.208
100077,.2225673,.1855091,.0999956,3,0,0,
100078,.3349201,.121965,,1,0,0,
100079,.170554,.267705,.1360762,2,0,0,
100080,.1611153,.1248937,.0072616,2,0,0,
100081,.152918,.1644275,.0439055,2,0,0,
100082,.589812,.646037,.9082033,1,1,0,5898.121
100083,.1621243,.282117,.2628828,2,1,1,-10000
